Name	Count	set_code
Highspire Infusion	5	AER
Lifecraft Awakening	2	AER
Lifecraft Cavalry	5	AER
Lifecrafter's Gift	2	AER
Maulfist Revolutionary	2	AER
Monstrous Onslaught	1	AER
Narnam Renegade	2	AER
Natural Obsolescence	6	AER
Peema Aether-Seer	2	AER
Prey Upon	5	AER
Ridgescale Tusker	2	AER
Rishkar, Peema Renegade	1	AER
Rishkar's Expertise	2	AER
Scrounging Bandar	5	AER
Silkweaver Elite	5	AER
Unbridled Growth	5	AER
Ajani Unyielding	1	AER
Dark Intimations	2	AER
Hidden Stockpile	2	AER
Maverick Thopterist	2	AER
Outland Boar	1	AER
Renegade Rallier	2	AER
Renegade Wheelsmith	2	AER
Rogue Refiner	2	AER
Spire Patrol	2	AER
Tezzeret the Schemer	1	AER
Tezzeret's Touch	3	AER
Weldfast Engineer	2	AER
Winding Constrictor	1	AER
Aegis Automaton	5	AER
Aethersphere Harvester	1	AER
Augmenting Automaton	6	AER
Barricade Breaker	2	AER
Cogwork Assembler	2	AER
Consulate Dreadnought	2	AER
Consulate Turret	5	AER
Crackdown Construct	2	AER
Daredevil Dragster	2	AER
Filigree Crawler	5	AER
Foundry Assembler	5	AER
Gonti's Aether Heart	2	AER
Hope of Ghirapur	1	AER
Implement of Combustion	5	AER
Implement of Examination	5	AER
Implement of Ferocity	5	AER
Implement of Improvement	5	AER
Implement of Malice	4	AER
Inspiring Statuary	1	AER
Irontread Crusher	7	AER
Lifecrafter's Bestiary	1	AER
Mobile Garrison	6	AER
Night Market Guard	6	AER
Ornithopter	1	AER
Pacification Array	2	AER
Planar Bridge	1	AER
Prizefighter Construct	4	AER
Renegade Map	4	AER
Reservoir Walker	6	AER
Scrap Trawler	1	AER
Servo Schematic	1	AER
Treasure Keeper	2	AER
Treasure Keeper	1	A25
Universal Solvent	5	AER
Untethered Express	2	AER
Verdant Automaton	5	AER
Walking Ballista	1	AER
Watchful Automaton	5	AER
Welder Automaton	5	AER
Spire of Industry	1	AER
Glory Seeker	2	W17
Serra Angel	1	W17
Standing Troops	2	W17
Stormfront Pegasus	1	W17
Victory's Herald	2	W17
Coral Merfolk	4	W17
Drag Under	4	W17
Inspiration	2	W17
Sleep Paralysis	4	W17
Sphinx of Magosi	3	W17
Stealer of Secrets	2	W17
Tricks of the Trade	4	W17
Nightmare	1	W17
Shivan Dragon	1	W17
Oakenform	1	W17
Garruk's Horde	2	W17
Rabid Bite	2	W17
Rootwalla	2	W17
Stalking Tiger	1	W17
Stampeding Rhino	1	W17
Wing Snare	1	W17
Conviction	4	AER
Acrobatic Maneuver	5	KLD
Aetherstorm Roc	1	KLD
Angel of Invention	2	KLD
Aviary Mechanic	3	KLD
Built to Last	3	KLD
Consul's Shieldguard	1	KLD
Eddytrail Hawk	4	KLD
Fairgrounds Warden	1	KLD
Fragmentize	7	KLD
Gearshift Ace	2	KLD
Glint-Sleeve Artisan	3	KLD
Herald of the Fair	3	KLD
Inspired Charge	6	KLD
Master Trinketeer	1	KLD
Ninth Bridge Patrol	5	KLD
Pressure Point	4	KLD
Propeller Pioneer	3	KLD
Refurbish	1	KLD
Revoke Privileges	4	KLD
Servo Exhibition	1	KLD
Skyswirl Harrier	3	KLD
Tasseled Dromedary	2	KLD
Thriving Ibex	3	KLD
Trusty Companion	2	KLD
Visionary Augmenter	1	KLD
Wispweaver Angel	2	KLD
Aether Theorist	3	KLD
Aether Tradewinds	2	KLD
Aethersquall Ancient	3	KLD
Ceremonious Rejection	1	KLD
Confiscation Coup	1	KLD
Curio Vendor	3	KLD
Dramatic Reversal	3	KLD
Era of Innovation	1	KLD
Experimental Aviator	1	KLD
Failed Inspection	6	KLD
Gearseeker Serpent	5	KLD
Glimmer of Genius	2	KLD
Glint-Nest Crane	1	KLD
Janjeet Sentry	1	KLD
Long-Finned Skywhale	1	KLD
Malfunction	5	KLD
Minister of Inquiries	4	KLD
Nimble Innovator	5	KLD
Padeem, Consul of Innovation	1	KLD
Hightide Hermit	2	KLD
Revolutionary Rebuff	2	KLD
Saheeli's Artistry	2	KLD
Select for Inspection	4	KLD
Shrewd Negotiation	1	KLD
Tezzeret's Ambition	4	KLD
Thriving Turtle	3	KLD
Vedalken Blademaster	5	KLD
Weldfast Wingsmith	5	KLD
Wind Drake	4	KLD
Aetherborn Marauder	1	KLD
Ambitious Aetherborn	6	KLD
Dhund Operative	4	KLD
Diabolic Tutor	4	KLD
Die Young	4	KLD
Dukhara Scavenger	4	KLD
Eliminate the Competition	1	KLD
Embraal Bruiser	1	KLD
Essence Extraction	1	KLD
Fortuitous Find	3	KLD
Foundry Screecher	2	KLD
Fretwork Colony	1	KLD
Gonti, Lord of Luxury	1	KLD
Harsh Scrutiny	1	KLD
Lawless Broker	1	KLD
Live Fast	2	KLD
Make Obsolete	2	KLD
Marionette Master	1	KLD
Maulfist Squad	4	KLD
Mind Rot	2	KLD
Mind Rot	3	DTK
Night Market Lookout	2	KLD
Ovalchase Daredevil	2	KLD
Prakhata Club Security	4	KLD
Rush of Vitality	2	KLD
Subtle Strike	5	KLD
Thriving Rats	3	KLD
Tidy Conclusion	4	KLD
Underhanded Designs	2	KLD
Weaponcraft Enthusiast	1	KLD
Cruel Finality	6	AER
Vengeful Rebel	2	AER
Noble Templar	1	A25
Ordeal of Heliod	1	A25
Promise of Bunrei	1	A25
Renewed Faith	2	A25
Savannah Lions	1	A25
Squadron Hawk	1	A25
Valor in Akros	2	A25
Borrowing 100,000 Arrows	2	A25
Choking Tethers	1	A25
Mystic of the Hidden Way	1	A25
Ancient Craving	1	A25
Erg Raiders	1	A25
Laquatus's Champion	1	A25
Murder	1	A25
Plague Wind	1	A25
Ruthless Ripper	1	A25
Unearth	1	A25
Chandra's Outrage	1	A25
Chartooth Cougar	2	A25
Crimson Mage	1	A25
Jackal Pup	2	A25
Mogg Flunkies	2	A25
Pyroclasm	1	A25
Skirk Commando	1	A25
Soulbright Flamekin	2	A25
Trumpet Blast	1	A25
Elvish Piper	1	A25
Lull	1	A25
Vessel of Nascency	1	A25
Wildheart Invoker	1	A25
Cloudblazer	1	A25
Cloudblazer	2	KLD
Niv-Mizzet, the Firemind	1	A25
Shadowmage Infiltrator	1	A25
Primal Clay	1	A25
Prophetic Prism	1	A25
Prophetic Prism	3	KLD
